04/06/2021 15:59:06 Application starting up
04/06/2021 15:59:12 You requested the index page.
04/06/2021 15:59:12 The value of i is 0
04/06/2021 15:59:12 The value of i is 1
04/06/2021 15:59:12 The value of i is 2
04/06/2021 15:59:12 The value of i is 3
04/06/2021 15:59:12 The value of i is 4
04/06/2021 15:59:12 The value of i is 5
04/06/2021 15:59:12 The value of i is 6
04/06/2021 15:59:12 The value of i is 7
04/06/2021 15:59:12 The value of i is 8
04/06/2021 15:59:12 The value of i is 9
04/06/2021 15:59:12 The value of i is 10
04/06/2021 15:59:12 The value of i is 11
04/06/2021 15:59:12 The value of i is 12
04/06/2021 15:59:12 The value of i is 13
04/06/2021 15:59:12 The value of i is 14
04/06/2021 15:59:12 The value of i is 15
04/06/2021 15:59:12 The value of i is 16
04/06/2021 15:59:12 The value of i is 17
04/06/2021 15:59:12 The value of i is 18
04/06/2021 15:59:12 The value of i is 19
04/06/2021 15:59:12 The value of i is 20
04/06/2021 15:59:12 The value of i is 21
04/06/2021 15:59:12 The value of i is 22
04/06/2021 15:59:12 The value of i is 23
04/06/2021 15:59:12 The value of i is 24
04/06/2021 15:59:12 The value of i is 25
04/06/2021 15:59:12 The value of i is 26
04/06/2021 15:59:12 The value of i is 27
04/06/2021 15:59:12 The value of i is 28
04/06/2021 15:59:12 The value of i is 29
04/06/2021 15:59:12 The value of i is 30
04/06/2021 15:59:12 The value of i is 31
04/06/2021 15:59:12 The value of i is 32
04/06/2021 15:59:12 The value of i is 33
04/06/2021 15:59:12 The value of i is 34
04/06/2021 15:59:12 The value of i is 35
04/06/2021 15:59:12 The value of i is 36
04/06/2021 15:59:12 The value of i is 37
04/06/2021 15:59:12 The value of i is 38
04/06/2021 15:59:12 The value of i is 39
04/06/2021 15:59:12 The value of i is 40
04/06/2021 15:59:12 The value of i is 41
04/06/2021 15:59:13 The value of i is 42
04/06/2021 15:59:13 The value of i is 43
04/06/2021 15:59:13 The value of i is 44
04/06/2021 15:59:13 The value of i is 45
04/06/2021 15:59:13 The value of i is 46
04/06/2021 15:59:13 The value of i is 47
04/06/2021 15:59:13 The value of i is 48
04/06/2021 15:59:13 The value of i is 49
04/06/2021 15:59:13 The value of i is 50
04/06/2021 15:59:13 The value of i is 51
04/06/2021 15:59:13 The value of i is 52
04/06/2021 15:59:13 The value of i is 53
04/06/2021 15:59:13 The value of i is 54
04/06/2021 15:59:13 The value of i is 55
04/06/2021 15:59:13 We caught this exception Get Call
System.Exception: this is our demo exception
   at SerilogExample.Pages.IndexModel.OnGet() in C:\Users\EBradshaw\source\repos\Serilog\SerilogExample\Pages\Index.cshtml.cs:line 33
04/06/2021 15:59:13 HTTP "GET" "/" responded 200 in 1261.7030 ms
04/06/2021 16:02:01 Application starting up
04/06/2021 16:02:08 You requested the index page.
04/06/2021 16:02:08 The value of i is 0
04/06/2021 16:02:08 The value of i is 1
04/06/2021 16:02:08 The value of i is 2
04/06/2021 16:02:08 The value of i is 3
04/06/2021 16:02:08 The value of i is 4
04/06/2021 16:02:08 The value of i is 5
04/06/2021 16:02:08 The value of i is 6
04/06/2021 16:02:08 The value of i is 7
04/06/2021 16:02:08 The value of i is 8
04/06/2021 16:02:08 The value of i is 9
04/06/2021 16:02:08 The value of i is 10
04/06/2021 16:02:08 The value of i is 11
04/06/2021 16:02:08 The value of i is 12
04/06/2021 16:02:08 The value of i is 13
04/06/2021 16:02:08 The value of i is 14
04/06/2021 16:02:08 The value of i is 15
04/06/2021 16:02:08 The value of i is 16
04/06/2021 16:02:08 The value of i is 17
04/06/2021 16:02:08 The value of i is 18
04/06/2021 16:02:08 The value of i is 19
04/06/2021 16:02:08 The value of i is 20
04/06/2021 16:02:08 The value of i is 21
04/06/2021 16:02:08 The value of i is 22
04/06/2021 16:02:08 The value of i is 23
04/06/2021 16:02:08 The value of i is 24
04/06/2021 16:02:08 The value of i is 25
04/06/2021 16:02:08 The value of i is 26
04/06/2021 16:02:08 The value of i is 27
04/06/2021 16:02:08 The value of i is 28
04/06/2021 16:02:08 The value of i is 29
04/06/2021 16:02:08 The value of i is 30
04/06/2021 16:02:08 The value of i is 31
04/06/2021 16:02:08 The value of i is 32
04/06/2021 16:02:08 The value of i is 33
04/06/2021 16:02:08 The value of i is 34
04/06/2021 16:02:08 The value of i is 35
04/06/2021 16:02:08 The value of i is 36
04/06/2021 16:02:08 The value of i is 37
04/06/2021 16:02:08 The value of i is 38
04/06/2021 16:02:08 The value of i is 39
04/06/2021 16:02:08 The value of i is 40
04/06/2021 16:02:08 The value of i is 41
04/06/2021 16:02:08 The value of i is 42
04/06/2021 16:02:08 The value of i is 43
04/06/2021 16:02:08 The value of i is 44
04/06/2021 16:02:08 The value of i is 45
04/06/2021 16:02:08 The value of i is 46
04/06/2021 16:02:08 The value of i is 47
04/06/2021 16:02:08 The value of i is 48
04/06/2021 16:02:08 The value of i is 49
04/06/2021 16:02:08 The value of i is 50
04/06/2021 16:02:08 The value of i is 51
04/06/2021 16:02:08 The value of i is 52
04/06/2021 16:02:08 The value of i is 53
04/06/2021 16:02:08 The value of i is 54
04/06/2021 16:02:09 The value of i is 55
04/06/2021 16:02:09 We caught this exception Get Call
System.Exception: this is our demo exception
   at SerilogExample.Pages.IndexModel.OnGet() in C:\Users\EBradshaw\source\repos\Serilog\SerilogExample\Pages\Index.cshtml.cs:line 33
04/06/2021 16:02:10 HTTP "GET" "/" responded 200 in 2517.8238 ms
